NAME,B01001_001E,B19013_001E,B17001_002E,B23025_005E,B23025_003E,state,county,state_fips,county_fips,fips,poverty_rate,unemployment_rate
"Tallapoosa County, Alabama",41251,53282,6826,1814,17414,01,123,01,123,01123,16.54747763690577,10.416905937751235
"Tuscaloosa County, Alabama",231558,61645,36412,6434,116428,01,125,01,125,01125,15.72478601473497,5.526162091593088
"Walker County, Alabama",64978,52987,10437,1550,27314,01,127,01,127,01127,16.062359567853733,5.6747455517317125
"Washington County, Alabama",15434,51184,2415,379,5977,01,129,01,129,01129,15.647272256058054,6.340973732641794
"Wilcox County, Alabama",10441,38208,2735,401,3746,01,131,01,131,01131,26.194808926348053,10.704751735184196
"Winston County, Alabama",23655,49494,4217,452,10225,01,133,01,133,01133,17.82709786514479,4.420537897310513
"Aleutians East Borough, Alaska",3407,79961,429,106,2411,02,013,02,013,02013,12.591722923393014,4.39651596847781
"Aleutians West Census Area, Alaska",5219,100662,478,110,3669,02,016,02,016,02016,9.15884269017053,2.998092123194331
"Anchorage Municipality, Alaska",290674,95731,27415,7747,150082,02,020,02,020,02020,9.43152810364876,5.161844858144214
"Bethel Census Area, Alaska",18538,64094,4586,1265,7827,02,050,02,050,02050,24.738375229258818,16.162003321834675
"Bristol Bay Borough, Alaska",854,94167,66,12,437,02,060,02,060,02060,7.728337236533958,2.745995423340961
"Chugach Census Area, Alaska",7000,83068,339,332,3770,02,063,02,063,02063,4.842857142857143,8.806366047745358
"Copper River Census Area, Alaska",2614,70606,289,78,1202,02,066,02,066,02066,11.05585309869931,6.4891846921797
"Denali Borough, Alaska",2101,87292,150,26,1370,02,068,02,068,02068,7.1394574012375065,1.897810218978102
"Dillingham Census Area, Alaska",4854,69412,765,247,2182,02,070,02,070,02070,15.760197775030901,11.319890009165903
"Fairbanks North Star Borough, Alaska",96299,81655,6356,2458,44536,02,090,02,090,02090,6.600276223013739,5.519130590982576
"Haines Borough, Alaska",2079,68276,121,36,842,02,100,02,100,02100,5.82010582010582,4.275534441805226
"Hoonah-Angoon Census Area, Alaska",2329,62344,269,191,1366,02,105,02,105,02105,11.550021468441392,13.98243045387994
"Juneau City and Borough, Alaska",32108,95711,2176,762,17107,02,110,02,110,02110,6.777127195714463,4.454316946279301
"Kenai Peninsula Borough, Alaska",59235,76272,7265,1971,27198,02,122,02,122,02122,12.264708364986916,7.246856386499008
"Ketchikan Gateway Borough, Alaska",13910,82763,1329,300,7266,02,130,02,130,02130,9.554277498202731,4.128819157720892
"Kodiak Island Borough, Alaska",13065,91138,1027,373,6512,02,150,02,150,02150,7.860696517412935,5.727886977886977
"Kusilvak Census Area, Alaska",8372,42663,2836,647,3095,02,158,02,158,02158,33.874820831342575,20.904684975767367
"Lake and Peninsula Borough, Alaska",999,61607,151,79,566,02,164,02,164,02164,15.115115115115115,13.957597173144876
"Matanuska-Susitna Borough, Alaska",108661,86435,10810,3446,49246,02,170,02,170,02170,9.948371540847221,6.997522641432807
"Nome Census Area, Alaska",10018,70121,2041,746,4519,02,180,02,180,02180,20.37332800958275,16.50807700818765
"North Slope Borough, Alaska",10924,83472,857,470,6899,02,185,02,185,02185,7.845111680703039,6.812581533555588
"Northwest Arctic Borough, Alaska",7682,77647,1405,482,3114,02,188,02,188,02188,18.28950794064046,15.478484264611433
"Petersburg Borough, Alaska",3374,77826,153,77,1747,02,195,02,195,02195,4.534676941315945,4.4075558099599315
"Prince of Wales-Hyder Census Area, Alaska",5799,61779,879,224,2969,02,198,02,198,02198,15.157785825142266,7.544627820815089
"Sitka City and Borough, Alaska",8462,95261,571,230,4617,02,220,02,220,02220,6.74781375561333,4.981589776911415
"Skagway Municipality, Alaska",1303,79583,81,96,873,02,230,02,230,02230,6.216423637759018,10.996563573883162
"Southeast Fairbanks Census Area, Alaska",6888,75378,898,195,2951,02,240,02,240,02240,13.037166085946575,6.607929515418502
"Wrangell City and Borough, Alaska",2134,61000,213,29,844,02,275,02,275,02275,9.981255857544518,3.4360189573459716
"Yakutat City and Borough, Alaska",564,76875,56,6,328,02,282,02,282,02282,9.929078014184398,1.8292682926829267
"Yukon-Koyukuk Census Area, Alaska",5355,47826,1216,294,2652,02,290,02,290,02290,22.707749766573297,11.085972850678733
"Apache County, Arizona",66054,37483,21058,1906,20148,04,001,04,001,04001,31.87997698852454,9.45999602938257
"Cochise County, Arizona",125504,58421,17553,3220,47420,04,003,04,003,04003,13.986008414074453,6.790383804301982
"Coconino County, Arizona",144705,67266,22531,5093,73048,04,005,04,005,04005,15.570298192875159,6.972127915890922
